"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\auth\login.blade.php", "PHP", 46, 0, 0, 0, 11, 57
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\auth\register.blade.php", "PHP", 47, 0, 0, 0, 13, 60
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\auth\reset-password.blade.php", "PHP", 38, 0, 0, 0, 11, 49
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\auth\verify-email.blade.php", "PHP", 33, 0, 0, 0, 7, 40
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\admin\auth-card.blade.php", "PHP", 8, 0, 0, 0, 2, 10
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\application-logo.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\auth-card.blade.php", "PHP", 8, 0, 0, 0, 2, 10
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\auth-session-status.blade.php", "PHP", 6, 0, 0, 0, 2, 8
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\auth-validation-errors.blade.php", "PHP", 13, 0, 0, 0, 3, 16
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\button.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 1, 2
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\dropdown.blade.php", "PHP", 39, 0, 0, 0, 5, 44
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\guest-admin-layout.blade.php", "PHP", 3, 0, 0, 0, 0, 3
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\input.blade.php", "PHP", 2, 0, 0, 0, 2, 4
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\label.blade.php", "PHP", 4, 0, 0, 0, 2, 6
"c:\Users\shabe\Documents\Laravel Projects\cms\resources\views\components\nav-link.blade.php", "PHP", 9, 0, 0, 0, 3, 12
