"filename", "language", "PHP", "JSON", "comment", "blank", "total"
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Menu\src\database\migrations\2022_02_14_023517_create_menus_table.php", "PHP", 21, 0, 10, 4, 35
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Menu\src\database\migrations\2022_02_14_023531_create_menu_items_table.php", "PHP", 27, 0, 10, 4, 41
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Menu\src\routes\admin.php", "PHP", 6, 0, 0, 3, 9
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Menu\src\routes\web.php", "PHP", 0, 0, 0, 1, 1
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\composer.json", "JSON", 0, 25, 0, 0, 25
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 4, 14
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\Http\Controllers\PageController.php", "PHP", 63, 0, 42, 10, 115
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\Models\CmsPage.php", "PHP", 9, 0, 0, 4, 13
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\Providers\PageServiceProvider.php", "PHP", 22, 0, 0, 7, 29
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\Providers\RouteServiceProvider.php", "PHP", 28, 0, 18, 8, 54
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\database\migrations\2022_01_30_065713_create_cms_pages_table.php", "PHP", 27, 0, 10, 4, 41
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\routes\admin.php", "PHP", 6, 0, 0, 3, 9
"c:\Users\shabe\Documents\Laravel Projects\cms\packages\Comasy\Page\src\routes\web.php", "PHP", 0, 0, 0, 1, 1
"Total", "-", 1835, 63, 470, 448, 2816
